focal_method,test_prefix,docstring
"protected static boolean isBooleanAttribute(final String key) {
    return Arrays.binarySearch(booleanAttributes, key) >= 0;
}","public void test000() throws Throwable {
    boolean boolean0 = Attribute.isBooleanAttribute(""allowfullscreen"");
    assertTrue(boolean0);
}","/**
 * Checks if this attribute name is defined as a boolean attribute in HTML5
 */"
"protected boolean isBooleanAttribute() {
    return Arrays.binarySearch(booleanAttributes, key) >= 0 || val == null;
}","public void test011() throws Throwable {
    Attributes attributes0 = new Attributes();
    Attribute attribute0 = new Attribute(""allowfullscreen"", ""allowfullscreen"", attributes0);
    boolean boolean0 = attribute0.isBooleanAttribute();
    assertTrue(boolean0);
}","/**
 * @deprecated
 */"
"protected final boolean shouldCollapseAttribute(Document.OutputSettings out) {
    return shouldCollapseAttribute(key, val, out);
}","public void test022() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""disabled"", ""disabled"");
    Document.OutputSettings document_OutputSettings0 = new Document.OutputSettings();
    boolean boolean0 = attribute0.shouldCollapseAttribute(document_OutputSettings0);
    assertTrue(boolean0);
}","/**
 * Collapsible if it's a boolean attribute and value is empty or same as name
 *
 * @param out output settings
 * @return  Returns whether collapsible or not
 */"
"protected static boolean shouldCollapseAttribute(final String key, final String val, final Document.OutputSettings out) {
    return (out.syntax() == Document.OutputSettings.Syntax.html && (val == null || ("""".equals(val) || val.equalsIgnoreCase(key)) && Attribute.isBooleanAttribute(key)));
}","public void test033() throws Throwable {
    Document.OutputSettings document_OutputSettings0 = new Document.OutputSettings();
    boolean boolean0 = Attribute.shouldCollapseAttribute("""", (String) null, document_OutputSettings0);
    assertTrue(boolean0);
}",""
"protected static boolean isDataAttribute(String key) {
    return key.startsWith(Attributes.dataPrefix) && key.length() > Attributes.dataPrefix.length();
}","public void test044() throws Throwable {
    boolean boolean0 = Attribute.isDataAttribute(""data-org.jsoup.nodes.Entities$1=\""data-org.jsoup.nodes.Entities$1\"""");
    assertTrue(boolean0);
}",""
"protected boolean isDataAttribute() {
    return isDataAttribute(key);
}","public void test055() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""base"", ""base"");
    boolean boolean0 = attribute0.isDataAttribute();
    assertFalse(boolean0);
}",""
"protected static boolean isBooleanAttribute(final String key) {
    return Arrays.binarySearch(booleanAttributes, key) >= 0;
}","public void test066() throws Throwable {
    boolean boolean0 = Attribute.isBooleanAttribute(""Oz[4"");
    assertFalse(boolean0);
}","/**
 * Checks if this attribute name is defined as a boolean attribute in HTML5
 */"
"public String getValue() {
    return val;
}","public void test077() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""base"", ""base"");
    String string0 = attribute0.getValue();
    assertEquals(""base"", string0);
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"public String getValue() {
    return val;
}","public void test088() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""#root"", """");
    String string0 = attribute0.getValue();
    assertEquals("""", string0);
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"public String getValue() {
    return val;
}","public void test099() throws Throwable {
    Attribute attribute0 = new Attribute(""                "", ""ot(''6~bug%:"");
    attribute0.getKey();
    assertEquals(""ot(''6~bug%:"", attribute0.getValue());
}","/**
 *     Get the attribute value.
 *     @return the attribute value
 */"
"protected final boolean shouldCollapseAttribute(Document.OutputSettings out) {
    return shouldCollapseAttribute(key, val, out);
}","public void test1010() throws Throwable {
    Attribute attribute0 = new Attribute(""e'E,YoM(JP{m&"", ""e'E,YoM(JP{m&"");
    // Undeclared exception!
    try {
        attribute0.shouldCollapseAttribute((Document.OutputSettings) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}","/**
 * Collapsible if it's a boolean attribute and value is empty or same as name
 *
 * @param out output settings
 * @return  Returns whether collapsible or not
 */"
"protected static boolean shouldCollapseAttribute(final String key, final String val, final Document.OutputSettings out) {
    return (out.syntax() == Document.OutputSettings.Syntax.html && (val == null || ("""".equals(val) || val.equalsIgnoreCase(key)) && Attribute.isBooleanAttribute(key)));
}","public void test1111() throws Throwable {
    // Undeclared exception!
    try {
        Attribute.shouldCollapseAttribute(""|w2kb2{.\""W90"", ""+8>TZ"", (Document.OutputSettings) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}",""
"public String setValue(String val) {
    String oldVal = parent.get(this.key);
    if (parent != null) {
        int i = parent.indexOfKey(this.key);
        if (i != Attributes.NotFound)
            parent.vals[i] = val;
    }
    this.val = val;
    return oldVal;
}","public void test1212() throws Throwable {
    Attribute attribute0 = Attribute.createFromEncoded(""#root"", """");
    // Undeclared exception!
    try {
        attribute0.setValue("")"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Attribute"", e);
    }
}","/**
 *     Set the attribute value.
 *     @param val the new attribute value; must not be null
 */"
