focal_method,test_prefix,docstring
"//-----------------------------------------------------------------------
// Design note: Simple Accessors return a suitable value, but methods
// intended to perform calculations throw an UnsupportedOperationException.
public final DurationFieldType getType() {
    return iType;
}","public void test000() throws Throwable {
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    DurationFieldType durationFieldType0 = unsupportedDurationField0.getType();
    assertNull(durationFieldType0);
}",""
"public String getName() {
    return iType.getName();
}","public void test011() throws Throwable {
    DurationFieldType durationFieldType0 = DurationFieldType.centuries();
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance(durationFieldType0);
    String string0 = unsupportedDurationField0.getName();
    assertEquals(""centuries"", string0);
}",""
"public String toString() {
    return ""UnsupportedDurationField["" + getName() + ']';
}","public void test022() throws Throwable {
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    // Undeclared exception!
    try {
        unsupportedDurationField0.toString();
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.joda.time.field.UnsupportedDurationField"", e);
    }
}","/**
 * Get a suitable debug string.
 *
 * @return debug string
 */"
"public int hashCode() {
    return getName().hashCode();
}","public void test033() throws Throwable {
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    // Undeclared exception!
    try {
        unsupportedDurationField0.hashCode();
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.joda.time.field.UnsupportedDurationField"", e);
    }
}","/**
 * Gets a suitable hashcode.
 *
 * @return the hashcode
 */"
"public boolean isPrecise() {
    return true;
}","public void test044() throws Throwable {
    DurationFieldType durationFieldType0 = DurationFieldType.hours();
    UnsupportedDurationField.getInstance(durationFieldType0);
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance(durationFieldType0);
    assertTrue(unsupportedDurationField0.isPrecise());
}","/**
 * This field is precise.
 *
 * @return true always
 */"
"public boolean isSupported() {
    return false;
}","public void test055() throws Throwable {
    DurationFieldType durationFieldType0 = DurationFieldType.halfdays();
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance(durationFieldType0);
    boolean boolean0 = unsupportedDurationField0.isSupported();
    assertFalse(boolean0);
}","/**
 * This field is not supported.
 *
 * @return false always
 */"
"public long getUnitMillis() {
    return 0;
}","public void test066() throws Throwable {
    DurationFieldType durationFieldType0 = DurationFieldType.years();
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance(durationFieldType0);
    long long0 = unsupportedDurationField0.getUnitMillis();
    assertEquals(0L, long0);
}","/**
 * Always returns zero.
 *
 * @return zero always
 */"
"public String getName() {
    return iType.getName();
}","public void test077() throws Throwable {
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    // Undeclared exception!
    try {
        unsupportedDurationField0.getName();
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.joda.time.field.UnsupportedDurationField"", e);
    }
}",""
"//------------------------------------------------------------------------
/**
 * Compares this duration field to another.
 *
 * @param obj  the object to compare to
 * @return true if equal
 */
public boolean equals(Object obj) {
    if (this == obj) {
        return true;
    } else if (obj instanceof UnsupportedDurationField) {
        UnsupportedDurationField other = (UnsupportedDurationField) obj;
        if (other.getName() == null) {
            return (getName() == null);
        }
        return (other.getName().equals(getName()));
    }
    return false;
}","public void test088() throws Throwable {
    DurationFieldType durationFieldType0 = DurationFieldType.halfdays();
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    UnsupportedDurationField unsupportedDurationField1 = UnsupportedDurationField.getInstance(durationFieldType0);
    // Undeclared exception!
    try {
        unsupportedDurationField0.equals(unsupportedDurationField1);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.joda.time.field.UnsupportedDurationField"", e);
    }
}",""
"//------------------------------------------------------------------------
/**
 * Compares this duration field to another.
 *
 * @param obj  the object to compare to
 * @return true if equal
 */
public boolean equals(Object obj) {
    if (this == obj) {
        return true;
    } else if (obj instanceof UnsupportedDurationField) {
        UnsupportedDurationField other = (UnsupportedDurationField) obj;
        if (other.getName() == null) {
            return (getName() == null);
        }
        return (other.getName().equals(getName()));
    }
    return false;
}","public void test099() throws Throwable {
    UnsupportedDurationField unsupportedDurationField0 = UnsupportedDurationField.getInstance((DurationFieldType) null);
    boolean boolean0 = unsupportedDurationField0.equals(unsupportedDurationField0);
    assertTrue(boolean0);
}",""
