focal_method,test_prefix,docstring
"public int getPosition() {
    return position;
}","public void test00() throws Throwable {
    QName qName0 = new QName(""S@("", ""S@("");
    Locale locale0 = Locale.ITALY;
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, qName0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    int int0 = jDOMAttributeIterator0.getPosition();
    assertEquals(0, int0);
}",""
"public int getPosition() {
    return position;
}","public void test11() throws Throwable {
    Locale locale0 = Locale.JAPAN;
    Element element0 = new Element(""xml"");
    QName qName0 = new QName(""xml"", ""xml"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public int getPosition() {
    return position;
}","public void test22() throws Throwable {
    Locale locale0 = Locale.JAPAN;
    Element element0 = new Element(""Gk"", ""Gk"");
    QName qName0 = new QName(""Gk"", ""Gk"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public String getNamespaceURI() {
    return null;
}","public void test33() throws Throwable {
    Locale locale0 = Locale.KOREAN;
    Element element0 = new Element(""Ek"", ""Ek"", ""Ek"");
    QName qName0 = new QName(""Ek"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    NodePointer nodePointer1 = nodePointer0.createAttribute((JXPathContext) null, qName0);
    assertNull(nodePointer1.getNamespaceURI());
}","/**
 * Returns the namespace URI associated with this Pointer.
 */"
"public int getPosition() {
    return position;
}","public void test44() throws Throwable {
    Locale locale0 = Locale.UK;
    Element element0 = new Element(""F"", ""F"", ""F"");
    Element element1 = element0.setAttribute(""F"", ""F"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element1, locale0);
    QName qName0 = new QName(""F"", ""*"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public int getPosition() {
    return position;
}","public void test55() throws Throwable {
    Locale locale0 = Locale.TAIWAN;
    Element element0 = new Element(""Gk"");
    QName qName0 = new QName(""*"");
    Element element1 = element0.setAttribute(""Gk"", ""*"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element1, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public int getPosition() {
    return position;
}","public void test66() throws Throwable {
    Locale locale0 = Locale.UK;
    Element element0 = new Element(""F"", ""F"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""F"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public int getPosition() {
    return position;
}","public void test67() throws Throwable {
    Locale locale0 = Locale.UK;
    Element element0 = new Element(""F"", ""F"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""F"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    jDOMAttributeIterator0.getNodePointer();
    assertEquals(1, jDOMAttributeIterator0.getPosition());
}",""
"public NodePointer getNodePointer() {
    if (position == 0) {
        if (!setPosition(1)) {
            return null;
        }
        position = 0;
    }
    int index = position - 1;
    if (index < 0) {
        index = 0;
    }
    return new JDOMAttributePointer(parent, (Attribute) attributes.get(index));
}","public void test78() throws Throwable {
    Locale locale0 = Locale.UK;
    Element element0 = new Element(""F"", ""F"");
    Element element1 = element0.setAttribute(""F"", ""F"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element1, locale0);
    QName qName0 = new QName(""F"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    NodePointer nodePointer1 = jDOMAttributeIterator0.getNodePointer();
    assertNotNull(nodePointer1);
}",""
"public int getPosition() {
    return position;
}","public void test79() throws Throwable {
    Locale locale0 = Locale.UK;
    Element element0 = new Element(""F"", ""F"");
    Element element1 = element0.setAttribute(""F"", ""F"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element1, locale0);
    QName qName0 = new QName(""F"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    NodePointer nodePointer1 = jDOMAttributeIterator0.getNodePointer();
    assertEquals(0, jDOMAttributeIterator0.getPosition());
}",""
"public NodePointer getNodePointer() {
    if (position == 0) {
        if (!setPosition(1)) {
            return null;
        }
        position = 0;
    }
    int index = position - 1;
    if (index < 0) {
        index = 0;
    }
    return new JDOMAttributePointer(parent, (Attribute) attributes.get(index));
}","public void test810() throws Throwable {
    Locale locale0 = Locale.JAPANESE;
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, (Object) null, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, (QName) null);
    NodePointer nodePointer1 = jDOMAttributeIterator0.getNodePointer();
    assertNull(nodePointer1);
}",""
"public int getPosition() {
    return position;
}","public void test911() throws Throwable {
    Locale locale0 = Locale.KOREAN;
    Element element0 = new Element(""Ek"", ""Ek"", ""Ek"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""Ek"", ""Ek"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    boolean boolean0 = jDOMAttributeIterator0.setPosition(Integer.MIN_VALUE);
    assertEquals(Integer.MIN_VALUE, jDOMAttributeIterator0.getPosition());
}",""
