org.apache.commons.math3.complex.Complex,@Test(timeout = 4000)
public void test03439() throws Throwable {
    Complex complex0 = new Complex(Double.NaN);
    Complex complex1 = complex0.NaN.atan();
    Complex complex2 = complex0.subtract(0.0);
    Complex complex3 = complex2.ZERO.divide(complex1);
    Complex complex4 = complex0.log();
    Complex complex5 = complex4.INF.subtract(complex1);
    complex3.NaN.cos();
    double double0 = complex4.ZERO.abs();
    Complex complex6 = complex0.sqrt1z();
    Complex complex7 = complex4.ONE.asin();
    Complex complex8 = complex7.tan();
    complex7.ZERO.negate();
    Complex complex9 = complex8.createComplex(0.0, (-300.57874955));
    Complex complex10 = complex9.INF.pow(complex6);
    Complex complex11 = complex9.NaN.acos();
    complex4.INF.toString();
    double double1 = complex0.abs();
    complex0.add(complex5);
    Complex complex12 = complex0.ONE.acos();
    complex5.toString();
    complex5.createComplex(Double.NaN, 5627.840250944935);
    Complex complex13 = Complex.valueOf((-1596.23024));
    complex3.log();
    Complex complex14 = complex13.subtract(complex8);
    Complex complex15 = complex13.multiply((-61.25461971));
    complex2.createComplex(0.0, (-1506.638287109));
    complex8.multiply(3140);
    Complex complex16 = complex9.reciprocal();
    List<Complex> list0 = complex15.nthRoot(3140);
    list0.size();
},ERROR,java.nio.file.NoSuchFileException,/home/star_usit_group/tratto/experiment/generator/resources/defects4j/temp/Math_5b/src/main/java/java/util/List.java
