Package,Class,Method,Oracle,Oracle type,Info from source,Info from docs
com.fasterxml.jackson.databind.node,BinaryNode,public static BinaryNode valueOf(byte[] data),data == null ? methodResultID == null : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public static BinaryNode valueOf(byte[] data),data.length == 0 ? methodResultID.equals(BinaryNode.EMPTY_BINARY_NODE) : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public static BinaryNode valueOf(byte[] data),data.length != 0 ? methodResultID.binaryValue().equals(data) : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,"public static BinaryNode valueOf(byte[] data, int offset, int length)",data == null ? methodResultID == null : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,"public static BinaryNode valueOf(byte[] data, int offset, int length)",data.length == 0 ? methodResultID.equals(BinaryNode.EMPTY_BINARY_NODE) : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public static BinaryNode valueOf(byte[] data),data.length != 0 && offset == 0 && length == data.length ? methodResultID.binaryValue().equals(data) : true;,POST,True,
com.fasterxml.jackson.databind.node,BinaryNode,public JsonNodeType getNodeType(),true ? methodResultID == JsonNodeType.BINARY : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public JsonToken asToken(),true ? methodResultID == JsonToken.VALUE_EMBEDDED_OBJECT : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public boolean equals(Object o),o == this ? methodResultID == true : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public boolean equals(Object o),o == null || ((o instanceof BinaryNode) == false) ? methodResultID == false : true;,POST,True,False
com.fasterxml.jackson.databind.node,BinaryNode,public int hashCode(),(this.binaryValue() == null) ? -1 : this.binaryValue().length;,POST,True,False
com.fasterxml.jackson.databind.util,EnumValues,"public static EnumValues constructFromName(MapperConfig<?> config, Class<Enum<?>> enumClass)",ClassUtil.findEnumType(enumClass).getEnumConstants() == null;,EXCEPT,True,False
com.fasterxml.jackson.databind.util,EnumValues,"public static EnumValues constructFromToString(MapperConfig<?> config, Class<Enum<?>> enumClass)",ClassUtil.findEnumType(enumClass).getEnumConstants() == null;,EXCEPT,True,False
com.fasterxml.jackson.databind.util,EnumValues,"public static EnumValues constructUsingEnumNamingStrategy(MapperConfig<?> config, Class<Enum<?>> enumClass, EnumNamingStrategy namingStrategy)",ClassUtil.findEnumType(enumClass).getEnumConstants() == null;,EXCEPT,True,False
