Package,Class,Method,Oracle,Oracle type,Info from source,Info from docs
org.joda.time.convert,IntervalConverter,"boolean isReadableInterval(Object object, Chronology chrono)",object != null;,PRE,False,True
org.joda.time.convert,IntervalConverter,"void setInto(ReadWritableInterval writableInterval, Object object, Chronology chrono);",writableInterval != null;,PRE,False,True
org.joda.time.convert,IntervalConverter,"void setInto(ReadWritableInterval writableInterval, Object object, Chronology chrono);",object != null;,PRE,False,True
org.joda.time.field,LenientDateTimeField,"public static DateTimeField getInstance(DateTimeField field, Chronology base) ",field == null ? methodResultID == null : true;,PRE,True,True
org.joda.time.field,LenientDateTimeField,"public static DateTimeField getInstance(DateTimeField field, Chronology base) ",base  != null;,PRE,True,True
org.joda.time.chrono,LenientChronology,public static LenientChronology getInstance(Chronology base) ,true ? methodResultID != null : true;,POST,False,True
org.joda.time.chrono,LenientChronology,public boolean equals(Object obj),this == obj ? methodResultID == true : methodResultID == false;,POST,True,True
org.joda.time.tz,ZoneInfoProvider,public DateTimeZone getZone(String id),id == null ? methodResultID == null : true;,PRE,True,False
org.joda.time.base,BaseDateTime,protected Chronology checkChronology(Chronology chronology),true ? methodResultID != null : true;,POST,True,True
org.joda.time.base,BaseDateTime,"protected long checkInstant(long instant, Chronology chronology)",chronology != null;,PRE,False,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadableInstant start, ReadableInstant end)",start != null;,PRE,False,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadableInstant start, ReadableInstant end)",end != null;,PRE,False,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadableInstant start, ReadableInstant end)",start == null || end == null;,EXCEPT,True,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadablePartial start, ReadablePartial end)",start != null;,PRE,False,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadablePartial start, ReadablePartial end)",end != null;,PRE,False,True
org.joda.time,Weeks,"public static Weeks weeksBetween(ReadablePartial start, ReadablePartial end)",start == null || end == null;,EXCEPT,True,True
org.joda.time,Weeks,public static Weeks weeksIn(ReadableInterval interval),interval == null ? methodResultID == Weeks.ZERO : true;,PRE,True,True
org.joda.time,Weeks,public static Weeks weeksIn(ReadableInterval interval),interval.getStart() == null || interval.getEnd() == null;,EXCEPT,True,True
org.joda.time,Weeks,public static Weeks standardWeeksIn(ReadablePeriod period) ,period == null ? methodResultID == 0 : true;,PRE,True,True
org.joda.time,Weeks,public static Weeks parseWeeks(String periodStr),periodStr == null ? methodResultID == Weeks.ZERO : true;,PRE,True,True
